0:0:0:0:0:0:0:1 - - [12/Apr/2021:21:16:05 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarNome?valorBusca= HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [12/Apr/2021:21:17:10 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:21:17:11 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 200 4555
0:0:0:0:0:0:0:1 - - [12/Apr/2021:21:17:11 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarNome?valorBusca= HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [12/Apr/2021:21:17:37 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:21:17:39 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:21:17:39 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarNome?valorBusca= HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [12/Apr/2021:21:17:49 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [12/Apr/2021:21:17:49 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 4264
0:0:0:0:0:0:0:1 - - [12/Apr/2021:21:17:49 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [12/Apr/2021:21:17:49 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [12/Apr/2021:21:17:49 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [12/Apr/2021:21:17:49 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 1007
